,이름,출전,득점,도움,유효 슈팅,일반 슈팅,패스 성공 횟수,전체 패스 횟수,드리블 성공 횟수,전체 드리블 횟수,공중볼 경합 성공 횟수,전체 공중볼 경합 횟수,가로채기,태클 성공 횟수,전체 태클 횟수,차단 성공 횟수,전체 차단 횟수,선방(골 차단),패스 성공률,드리블 성공률,공중볼 경합 성공률,태클 성공률,차단 성공률
0,C. 비라기,12,1,0,2,0,110,122,91,93,1,7,3,1,5,2,11,0,0.9016393442622951,0.978494623655914,0.14285714285714285,0.2,0.18181818181818182
1,J. 그바르디올,998,60,96,156,76,7371,7882,6213,6867,93,803,856,728,1038,146,1217,340,0.9351687388987566,0.9047619047619048,0.11581569115815692,0.7013487475915221,0.1199671322925226
2,그리말도,484,20,64,43,17,3503,3907,3175,3584,13,273,417,394,542,28,390,154,0.8965958535961095,0.8858816964285714,0.047619047619047616,0.7269372693726938,0.07179487179487179
3,니콜라스 오타멘디,94,2,2,5,4,745,779,627,655,5,66,75,68,90,11,83,29,0.9563543003851092,0.9572519083969465,0.07575757575757576,0.7555555555555555,0.13253012048192772
4,니클라스 쥘레,959,24,43,57,48,7208,7524,6037,6410,76,844,704,584,773,141,1062,344,0.9580010632642212,0.9418096723868955,0.09004739336492891,0.7554980595084088,0.1327683615819209
5,다요 우파메카노,7939,141,320,478,321,60108,62942,50234,53146,555,6565,5484,4546,6588,1046,8384,2628,0.9549744208954275,0.9452075414894818,0.08453922315308454,0.6900425015179114,0.12476145038167939
6,리스 제임스,29775,1390,3649,3374,1717,226913,246066,205946,230063,1310,15799,23132,20789,28889,2913,26925,9448,0.9221631594775386,0.8951721919648097,0.08291664029368948,0.7196164630136038,0.10818941504178273
7,마르코스 아쿠냐,291,21,40,41,17,2073,2271,1871,2089,7,154,206,190,295,18,260,73,0.9128137384412153,0.8956438487314504,0.045454545454545456,0.6440677966101694,0.06923076923076923
8,마르키뉴스,1954,64,125,179,121,13686,14517,11408,12364,151,1557,1690,1404,2028,318,2242,663,0.9427567679272577,0.9226787447428016,0.09698137443802184,0.6923076923076923,0.14183764495985726
9,버질 반데이크,7091,264,452,835,537,51211,54331,42604,46151,736,6664,5583,4708,6841,1015,7906,2583,0.942574220978815,0.9231435938549544,0.11044417767106843,0.6882034790235346,0.12838350619782443
10,브레메르,1367,31,76,120,73,9898,10398,8196,8821,114,1115,1060,896,1271,194,1472,452,0.9519138295826121,0.9291463552885161,0.10224215246636771,0.7049567269866247,0.13179347826086957
11,아슈라프 하키미,14897,648,1895,1580,747,111985,121267,101104,113780,602,8299,11623,10562,15085,1374,12879,4453,0.9234581543206314,0.8885920196871154,0.07253886010362694,0.7001657275439178,0.10668530165385512
12,알폰소 데이비스,16175,747,1957,1595,760,118969,128553,108074,122096,682,10574,13852,12656,17621,1555,14427,5248,0.9254470918609445,0.8851559428646311,0.06449782485341403,0.7182339254298848,0.10778401608095932
13,에데르 밀리탕,27511,817,1699,2522,1651,217378,229321,185500,198328,2447,24966,20756,17547,24264,3684,28450,10531,0.9479201643111621,0.935319269089589,0.09801329808539613,0.7231701285855588,0.1294903339191564
14,제레미 프림퐁,1850,65,221,171,84,14017,15212,12857,14546,65,1035,1531,1394,1966,166,1624,589,0.9214435971601367,0.8838856042898391,0.06280193236714976,0.7090539165818922,0.1022167487684729
15,조나탕 클로스,7,0,1,0,2,46,49,45,51,0,3,4,4,4,1,6,2,0.9387755102040817,0.8823529411764706,0.0,1.0,0.16666666666666666
16,주앙 칸셀루,9935,962,1312,1976,795,86900,93625,75789,83910,409,6355,7463,6791,10148,859,8648,2744,0.9281708945260347,0.9032177332856632,0.06435877261998427,0.6691959006700827,0.09932932469935245
17,쥘 쿤데,545,17,33,44,34,3840,4079,3186,3464,58,459,441,382,561,65,614,153,0.9414072076489336,0.9197459584295612,0.12636165577342048,0.6809269162210339,0.10586319218241043
18,칼리두 쿨리발리,336,5,15,24,16,2433,2551,1962,2113,21,284,267,221,314,51,371,111,0.9537436299490396,0.9285376242309512,0.07394366197183098,0.7038216560509554,0.13746630727762804
19,크리스티안 로메로,4761,112,248,373,254,34208,36146,27806,29805,348,3856,3800,3243,4908,654,5349,1509,0.946384108891717,0.9329307163227646,0.09024896265560166,0.660757946210269,0.12226584408300617
20,키어런 트리피어,2058,137,293,301,150,16583,18363,14965,16730,69,1066,1625,1500,2105,167,1713,515,0.9030659478298753,0.8945008965929468,0.0647279549718574,0.7125890736342043,0.09748978400467016
21,테오 에르난데스,14089,653,1525,1516,735,104078,112472,91603,102139,781,9446,11702,10439,14467,1572,13284,4798,0.9253680916139128,0.8968464543416325,0.08268049968240525,0.7215732356397319,0.11833785004516711
22,티아구 실바,6650,201,331,501,275,50680,53317,42890,45651,490,5351,4792,4046,5726,852,7138,2248,0.9505411032128589,0.939519397165451,0.0915716688469445,0.706601466992665,0.11936116559260297
23,피카요 토모리,15367,443,1123,1386,952,115686,122753,94470,102082,1180,12628,12155,10196,14266,2248,17368,5722,0.9424291056023071,0.9254324954448384,0.09344314222363002,0.7147062946866676,0.1294334408106863
24,후벵 디아스,3234,123,191,327,188,22207,23542,18232,19715,301,2647,2588,2154,3197,502,3756,981,0.9432928383314927,0.9247780877504438,0.11371363808084624,0.6737566468564279,0.1336528221512247
