,이름,출전,득점,도움,유효 슈팅,일반 슈팅,패스 성공 횟수,전체 패스 횟수,드리블 성공 횟수,전체 드리블 횟수,공중볼 경합 성공 횟수,전체 공중볼 경합 횟수,가로채기,태클 성공 횟수,전체 태클 횟수,차단 성공 횟수,전체 차단 횟수,선방(골 차단),패스 성공률,드리블 성공률,공중볼 경합 성공률,태클 성공률,차단 성공률
0,C. 은쿤쿠,637,182,137,333,95,6234,6844,5357,5962,18,486,327,314,525,16,347,73,0.9108708357685564,0.8985239852398524,0.037037037037037035,0.5980952380952381,0.04610951008645533
1,R. 레반도프스키,22457,13135,5609,22153,5199,213357,227361,142461,165044,1855,23231,4257,4342,7659,76,2249,1613,0.9384063229841529,0.8631698213809651,0.07985020016357454,0.5669147408277843,0.03379279679857715
2,R. 콜로 무아니,6,2,3,5,2,52,57,35,38,0,3,0,0,1,0,3,0,0.9122807017543859,0.9210526315789473,0.0,0.0,0.0
3,가브리엘 제주스,371,174,101,307,86,3428,3641,2344,2754,17,331,86,89,149,0,45,17,0.9414995880252678,0.8511256354393609,0.0513595166163142,0.5973154362416108,0.0
4,네이마르 Jr.,3381,1069,945,2040,507,31604,34973,28865,32839,123,2373,969,988,1751,15,592,174,0.9036685443056072,0.8789853527817534,0.051833122629582805,0.5642490005711023,0.02533783783783784
5,다르윈 누녜스,1440,688,356,1205,314,13341,14246,9923,11364,113,1493,356,360,612,11,206,111,0.936473396040994,0.8731960577261527,0.07568653717347622,0.5882352941176471,0.05339805825242718
6,데얀 쿨루세브스키,1929,544,481,1043,369,19331,21111,17478,19711,110,1937,749,755,1226,22,584,204,0.9156837667566672,0.8867130028917863,0.05678884873515746,0.6158238172920065,0.03767123287671233
7,두샨 블라호비치,304,169,74,301,62,2765,2942,1824,2116,19,331,46,45,78,1,29,13,0.9398368456832087,0.8620037807183365,0.05740181268882175,0.5769230769230769,0.034482758620689655
8,라우타로 마르티네스,1290,664,312,1149,276,11901,12768,8462,9799,87,1218,276,287,517,5,164,79,0.9320958646616542,0.8635575058679457,0.07142857142857142,0.5551257253384912,0.03048780487804878
9,리오넬 메시,3970,1591,1220,3084,858,40386,45251,36619,41879,133,3340,949,976,1877,11,684,220,0.8924885637886456,0.8744000573079587,0.03982035928143712,0.5199786893979755,0.01608187134502924
10,마르탱 테리에,65,42,15,68,10,555,605,443,504,7,60,12,12,20,0,13,3,0.9173553719008265,0.878968253968254,0.11666666666666667,0.6,0.0
11,모하메드 살라,4207,1610,1133,2994,783,38744,42542,36719,41964,266,4464,1311,1338,2223,14,776,309,0.9107235202858351,0.8750119149747403,0.059587813620071685,0.601889338731444,0.01804123711340206
12,무사 디아비,147,45,40,89,34,1317,1417,1270,1454,5,173,38,41,75,2,28,13,0.9294283697953423,0.8734525447042641,0.028901734104046242,0.5466666666666666,0.07142857142857142
13,부카요 사카,486,112,130,223,75,4300,4751,3984,4538,16,455,254,251,374,12,182,67,0.9050726162913071,0.8779197884530631,0.035164835164835165,0.6711229946524064,0.06593406593406594
14,비니시우스 주니어,8429,2631,2304,4909,1379,74746,81370,71296,81385,355,6455,3136,3201,5133,51,1653,540,0.9185940764409487,0.8760336671376789,0.054996127033307515,0.6236119228521333,0.030852994555353903
15,빅터 오시멘,72,41,29,70,23,727,782,502,581,9,96,18,18,36,0,11,6,0.9296675191815856,0.8640275387263339,0.09375,0.5,0.0
16,사디오 마네,15036,4746,4197,8892,2547,137186,149445,126769,144249,786,12386,5186,5294,8756,79,3017,903,0.9179698216735254,0.8788206504031224,0.06345874374293557,0.6046139789858382,0.026184951939012265
17,손흥민,41103,15490,10890,28865,8185,378771,417631,349151,397474,2334,38820,14349,14674,23813,213,7185,2800,0.906951351791414,0.8784247523108429,0.06012364760432767,0.6162180321673035,0.02964509394572025
18,앙투안 그리즈만,2759,908,783,1746,537,26122,29372,24358,27628,136,2850,950,969,1629,20,572,292,0.8893504017431567,0.8816418126538295,0.047719298245614036,0.5948434622467772,0.03496503496503497
19,엘링 홀란,1746,991,416,1706,427,16502,17578,11027,12890,150,1867,315,327,558,5,198,168,0.9387871202639663,0.8554693560899922,0.08034279592929834,0.5860215053763441,0.025252525252525252
20,올리비에 지루,322,170,96,302,80,3014,3229,2100,2412,35,369,57,60,129,1,44,19,0.9334159182409415,0.8706467661691543,0.0948509485094851,0.46511627906976744,0.022727272727272728
21,우스만 뎀벨레,402,113,127,220,62,3633,4027,3122,3584,20,277,113,110,200,4,99,17,0.902160417184008,0.87109375,0.07220216606498195,0.55,0.04040404040404041
22,위삼 벤예데르,98,23,22,50,13,853,951,824,915,4,53,31,31,56,0,13,2,0.8969505783385909,0.9005464480874317,0.07547169811320754,0.5535714285714286,0.0
23,이아고 아스파스,110,37,30,73,21,1066,1189,953,1074,7,99,34,36,56,1,23,5,0.896551724137931,0.8873370577281192,0.0707070707070707,0.6428571428571429,0.043478260869565216
24,주앙 펠릭스,881,296,239,521,149,8034,8666,7345,8436,43,862,291,295,491,4,176,78,0.9270713131779368,0.8706733048838312,0.04988399071925754,0.6008146639511202,0.022727272727272728
25,치로 임모빌레,267,162,62,267,58,2376,2547,1608,1905,21,259,49,50,91,1,23,14,0.9328621908127208,0.8440944881889764,0.08108108108108109,0.5494505494505495,0.043478260869565216
26,카림 벤제마,36368,16455,9115,28610,6973,341430,365030,263496,301135,2526,37474,9883,10054,16417,183,4700,3326,0.9353477796345506,0.875009547213044,0.06740673533649998,0.612413961137845,0.03893617021276596
27,코디 각포,142,52,42,74,24,1341,1488,1172,1341,6,110,52,54,83,0,17,10,0.9012096774193549,0.8739746457867263,0.05454545454545454,0.6506024096385542,0.0
28,킬리안 음바페,7906,3505,2149,6249,1574,73598,79659,61567,71204,449,7766,2187,2227,3868,43,1148,528,0.9239131799294493,0.8646564799730352,0.057816121555498326,0.5757497414684591,0.037456445993031356
29,필 포든,6350,1860,1750,3609,1143,59150,64982,55104,62623,269,5142,2239,2286,3690,30,1476,452,0.9102520698039457,0.8799322932468902,0.052314274601322444,0.6195121951219512,0.02032520325203252
30,하파엘 레앙,1686,556,460,1045,286,14753,16084,13797,15783,111,1532,566,587,917,10,272,146,0.9172469534941556,0.8741684090477095,0.07245430809399478,0.6401308615049073,0.03676470588235294
31,해리 케인,9312,5167,2357,8795,2053,89542,95755,61616,70761,776,9975,1869,1917,3444,38,1115,793,0.9351156597566707,0.8707621429883693,0.07779448621553885,0.5566202090592335,0.034080717488789235
