,이름,출전,득점,도움,유효 슈팅,일반 슈팅,패스 성공 횟수,전체 패스 횟수,드리블 성공 횟수,전체 드리블 횟수,공중볼 경합 성공 횟수,전체 공중볼 경합 횟수,가로채기,태클 성공 횟수,전체 태클 횟수,차단 성공 횟수,전체 차단 횟수,선방(골 차단),패스 성공률,드리블 성공률,공중볼 경합 성공률,태클 성공률,차단 성공률
0,E. 마르티네스,363,0,0,0,0,764,818,112,113,0,0,2,3,5,0,0,870,0.9339853300733496,0.9911504424778761,,0.6,
1,그레고르 코벨,656,0,0,0,0,1356,1455,240,244,0,1,1,1,2,0,0,1408,0.931958762886598,0.9836065573770492,0.0,0.5,
2,마이크 메냥,690,0,0,0,0,1433,1525,280,281,0,0,1,1,1,0,0,1416,0.939672131147541,0.99644128113879,,1.0,
3,보이치에흐 슈체스니,4923,1,3,1,0,10274,10991,1688,1718,1,9,5,5,19,0,0,11344,0.9347648075698298,0.9825378346915018,0.1111111111111111,0.2631578947368421,
4,알리송,3432,0,0,0,0,7116,7708,1435,1455,0,2,4,4,8,0,0,7432,0.9231966787752984,0.9862542955326461,0.0,0.5,
5,야신 부누,105,0,0,0,0,212,227,45,45,0,0,0,0,0,0,0,195,0.933920704845815,1.0,,,
6,에데르송,754,0,0,1,1,1655,1757,388,393,0,1,4,4,8,0,0,1579,0.941946499715424,0.9872773536895675,0.0,0.5,
7,위고 요리스,1032,0,0,0,0,2246,2404,445,451,1,4,0,1,3,0,0,2342,0.9342762063227953,0.9866962305986696,0.25,0.3333333333333333,
8,케빈 트라프,34,0,0,0,0,63,68,15,15,0,0,0,0,0,0,0,67,0.9264705882352942,1.0,,,
9,티보 쿠르투아,60008,4,6,7,2,126441,135079,25054,25365,25,86,39,49,121,0,0,135238,0.9360522360988754,0.987739010447467,0.29069767441860467,0.4049586776859504,
