포지션,이름,클래스
ST,박주영,2012KH
ST,R. 레반도프스키,22TOTY
ST,크리스티아누 호날두,22TOTS
ST,R. 레반도프스키,21TOTY
ST,크리스티아누 호날두,21TOTY
ST,호나우두,MC
ST,손흥민,22TOTY
ST,차범근,LN
ST,안드리 셰우첸코,LN
ST,지동원,2012KH
ST,티에리 앙리,BWC
ST,안정환,BWC
ST,사뮈엘 에토,FA
ST,조규성,22KFA
ST,R. 레반도프스키,22TOTS
ST,호나우두,BWC
CF,박주영,2012KH
CF,지동원,2012KH
CF,사디오 마네,21UCL
CF,손흥민,22KFA
CF,차범근,LH
CF,세르주 그나브리,21UCL
CF,제르단 샤키리,WC22
CF,손흥민,22TOTY
CF,페드로,UP
CF,손흥민,21TOTY
CF,카림 벤제마,21UCL
CF,설기현,BWC
CF,황희찬,22KFA
CF,고정운,TKL
CF,카림 벤제마,BOE21
CF,이반 페리시치,LOL
LW,사디오 마네,21UCL
LW,손흥민,22KFA
LW,페드로,UP
LW,비니시우스 주니어,21UCL
LW,에덴 아자르,EBS
LW,필 포든,22TOTS
LW,고정운,TKL
LW,세르주 그나브리,21UCL
LW,비니시우스 주니어,22TOTS
LW,이반 페리시치,LOL
LW,손흥민,22TOTY
LW,잭 그릴리시,22TOTN
LW,호드리구,21UCL
LW,필 포든,22TOTN
LW,황희찬,22KFA
LW,네이마르 Jr.,22TOTN
RW,세르주 그나브리,21UCL
RW,호드리구,21UCL
RW,리야드 마레즈,21UCL
RW,차범근,LH
RW,황희찬,22KFA
RW,제르단 샤키리,WC22
RW,페드로,UP
RW,에덴 아자르,EBS
RW,조 콜,LN
RW,고정운,TKL
RW,페데리코 키에사,22TOTN
RW,사디오 마네,21UCL
RW,데얀 쿨루세브스키,LOL
RW,조 콜,CFA
RW,잭 그릴리시,22TOTN
RW,메이슨 마운트,22TOTN
CM,유상철,CAP
CM,기성용,2012KH
CM,유상철,BWC
CM,미하엘 발락,BTB
CM,이창민,21KLB
CM,폴 포그바,BTB
CM,아르투로 비달,21UCL
CM,미하엘 발락,MC
