,이름,클래스,seasonId,playersId,ID,position,positionNumber
0,박주영,2012KH,247,165889,247165889,ST,25
1,R. 레반도프스키,22TOTY,258,188545,258188545,ST,25
2,크리스티아누 호날두,22TOTS,267,020801,267020801,ST,25
3,R. 레반도프스키,21TOTY,240,188545,240188545,ST,25
4,크리스티아누 호날두,21TOTY,240,020801,240020801,ST,25
5,호나우두,MC,237,037576,237037576,ST,25
6,손흥민,22TOTY,258,200104,258200104,ST,25
7,차범근,LN,268,191208,268191208,ST,25
8,안드리 셰우첸코,LN,268,013128,268013128,ST,25
9,지동원,2012KH,247,199266,247199266,ST,25
10,티에리 앙리,BWC,272,001625,272001625,ST,25
11,안정환,BWC,272,007489,272007489,ST,25
12,사뮈엘 에토,FA,264,009676,264009676,ST,25
13,조규성,22KFA,293,247686,293247686,ST,25
14,R. 레반도프스키,22TOTS,267,188545,267188545,ST,25
15,호나우두,BWC,272,037576,272037576,ST,25
18,사디오 마네,21UCL,260,208722,260208722,CF,21
19,손흥민,22KFA,293,200104,293200104,CF,21
20,차범근,LH,234,191208,234191208,CF,21
21,세르주 그나브리,21UCL,260,206113,260206113,CF,21
22,제르단 샤키리,WC22,273,193348,273193348,CF,21
24,페드로,UP,246,189505,246189505,CF,21
25,손흥민,21TOTY,240,200104,240200104,CF,21
26,카림 벤제마,21UCL,260,165153,260165153,CF,21
27,설기현,BWC,272,103133,272103133,CF,21
28,황희찬,22KFA,293,226380,293226380,CF,21
29,고정운,TKL,225,242881,225242881,CF,21
30,카림 벤제마,BOE21,253,165153,253165153,CF,21
31,이반 페리시치,LOL,265,181458,265181458,CF,21
35,비니시우스 주니어,21UCL,260,238794,260238794,LW,27
36,에덴 아자르,EBS,251,183277,251183277,LW,27
37,필 포든,22TOTS,267,237692,267237692,LW,27
40,비니시우스 주니어,22TOTS,267,238794,267238794,LW,27
43,잭 그릴리시,22TOTN,259,206517,259206517,LW,27
44,호드리구,21UCL,260,237532,260237532,LW,27
45,필 포든,22TOTN,259,237692,259237692,LW,27
47,네이마르 Jr.,22TOTN,259,190871,259190871,LW,27
50,리야드 마레즈,21UCL,260,204485,260204485,RW,23
56,조 콜,LN,268,000027,268000027,RW,23
58,페데리코 키에사,22TOTN,259,235805,259235805,RW,23
60,데얀 쿨루세브스키,LOL,265,247394,265247394,RW,23
61,조 콜,CFA,254,000027,254000027,RW,23
63,메이슨 마운트,22TOTN,259,233064,259233064,RW,23
64,유상철,CAP,252,140053,252140053,CM,14
65,기성용,2012KH,247,180283,247180283,CM,14
66,유상철,BWC,272,140053,272140053,CM,14
67,미하엘 발락,BTB,256,003647,256003647,CM,14
68,이창민,21KLB,257,221467,257221467,CM,14
69,폴 포그바,BTB,256,195864,256195864,CM,14
70,아르투로 비달,21UCL,260,181872,260181872,CM,14
71,미하엘 발락,MC,237,003647,237003647,CM,14
72,토니 크로스,21UCL,260,182521,260182521,CM,14
73,황인범,22KFA,293,228010,293228010,CM,14
74,마르코스 요렌테,22TOTN,259,226161,259226161,CM,14
75,유상철,TKL,225,140053,225140053,CM,14
76,스티븐 제라드,EBS,251,013743,251013743,CM,14
77,미하엘 발락,LN,268,003647,268003647,CM,14
78,루드 굴리트,EBS,251,214100,251214100,CM,14
79,루카 모드리치,21UCL,260,177003,260177003,CM,14
92,루드 굴리트,LN,268,214100,268214100,CAM,18
93,케빈 더브라위너,21TOTY,240,192985,240192985,CAM,18
101,미하엘 발락,FA,264,003647,264003647,CDM,10
105,레온 고레츠카,22TOTN,259,209658,259209658,CDM,10
106,마이클 에시앙,CFA,254,045674,254045674,CDM,10
108,마이클 에시앙,MC,237,045674,237045674,CDM,10
110,데이비드 알라바,21UCL,260,197445,260197445,CDM,10
111,카제미루,21UCL,260,200145,260200145,CDM,10
120,잔프랑코 졸라,CFA,254,001201,254001201,LM,16
121,이반 페리시치,21UCL,260,181458,260181458,LM,16
123,잔프랑코 졸라,LN,268,001201,268001201,LM,16
124,프랑크 리베리,VTR,231,156616,231156616,LM,16
126,페드로,BTB,256,189505,256189505,LM,16
127,메이슨 마운트,21UCL,260,233064,260233064,LM,16
134,이동준,21KFA,294,243061,294243061,RM,12
142,조 콜,22HR,261,000027,261000027,RM,12
144,차두리,TKL,225,140057,225140057,CB,5
145,뱅자맹 파바르,21UCL,260,226851,260226851,CB,5
146,안토니오 뤼디거,20UCL,242,205452,242205452,CB,5
147,에데르 밀리탕,21UCL,260,240130,260240130,CB,5
148,뤼카 에르난데스,21UCL,260,220814,260220814,CB,5
149,피카요 토모리,SPL,270,232756,270232756,CB,5
150,라파엘 바란,BOE21,253,201535,253201535,CB,5
151,홍정호,21KLB,257,200588,257200588,CB,5
152,안토니오 뤼디거,22TOTN,259,205452,259205452,CB,5
153,다요 우파메카노,21UCL,260,229558,260229558,CB,5
154,안토니오 뤼디거,21UCL,260,205452,260205452,CB,5
155,김민재,SPL,270,237086,270237086,CB,5
156,윤석영,2012KH,247,191980,247191980,CB,5
157,피카요 토모리,LOL,265,232756,265232756,CB,5
158,이브라히마 코나테,21UCL,260,237678,260237678,CB,5
159,김민재,WC22,273,237086,273237086,CB,5
160,벤 칠웰,21UCL,260,229984,260229984,LB,7
161,이기제,21KLB,257,212066,257212066,LB,7
162,홍철,TKL,225,199236,225199236,LB,7
163,페를랑 멘디,21UCL,260,228618,260228618,LB,7
164,알폰소 데이비스,20UCL,242,234396,242234396,LB,7
165,알폰소 데이비스,BTB,256,234396,256234396,LB,7
166,벤 칠웰,20UCL,242,229984,242229984,LB,7
167,안드레아스 브레메,LH,234,166120,234166120,LB,7
170,알렉스 산드루,MC,237,191043,237191043,LB,7
171,알렉스 텔리스,21UCL,260,212462,260212462,LB,7
172,알폰소 데이비스,21UCL,260,234396,260234396,LB,7
173,데이비드 알라바,20UCL,242,197445,242197445,LB,7
174,테오 에르난데스,19PLA,),232656,)232656,LB,7
175,애슐리 콜,EBS,251,034079,251034079,LB,7
176,리스 제임스,21UCL,260,238074,260238074,RB,3
177,리스 제임스,20UCL,242,238074,242238074,RB,3
178,요주아 키미히,19UCL,221,212622,221212622,RB,3
179,강상우,21KLB,257,222734,257222734,RB,3
180,아슈라프 하키미,21UCL,260,235212,260235212,RB,3
181,부나 사르,WC22,273,204472,273204472,RB,3
182,김태환,TKL,225,199231,225199231,RB,3
183,디오구 달로,21UCL,260,234574,260234574,RB,3
184,카르바할,21UCL,260,204963,260204963,RB,3
185,김태환,21KLB,257,199231,257199231,RB,3
186,후안 콰드라도,21UCL,260,193082,260193082,RB,3
187,카르바할,UP,246,204963,246204963,RB,3
188,카일 워커,21UCL,260,188377,260188377,RB,3
190,김문환,22KFA,293,244800,293244800,RB,3
191,주앙 칸셀루,MC,237,210514,237210514,RB,3
196,앤드루 로버트슨,21UCL,260,216267,260216267,LWB,8
197,쿠쿠렐랴,LOL,265,239231,265239231,LWB,8
200,K. 치미카스,21UCL,260,232223,260232223,LWB,8
201,안드레아스 브레메,EBS,251,166120,251166120,LWB,8
203,테오 에르난데스,LOL,265,232656,265232656,LWB,8
204,알폰소 데이비스,WC22,273,234396,273234396,LWB,8
205,주앙 칸셀루,21UCL,260,210514,260210514,LWB,8
206,누누 멘데스,21UCL,260,252145,260252145,LWB,8
214,T. 알렉산더-아놀드,21UCL,260,231281,260231281,RWB,2
216,제드 스펜스,SPL,270,243702,270243702,RWB,2
218,주앙 칸셀루,LOL,265,210514,265210514,RWB,2
224,이범영,2012KH,247,191924,247191924,GK,0
225,티보 쿠르투아,22LIVE,300,192119,300192119,GK,0
226,에드윈 반데르사르,NHD,201,051539,201051539,GK,0
227,마누엘 노이어,22LIVE,300,167495,300167495,GK,0
228,티보 쿠르투아,20UCL,242,192119,242192119,GK,0
229,티보 쿠르투아,LH,234,192119,234192119,GK,0
230,티보 쿠르투아,TB,206,192119,206192119,GK,0
231,잔루이지 돈나룸마,22LIVE,300,230621,300230621,GK,0
232,보이치에흐 슈체스니,EBS,251,186153,251186153,GK,0
233,에우통 레이치,21UCL,260,213951,260213951,GK,0
234,조 하트,TC,214,150724,214150724,GK,0
235,슈벤 울라이히,21UCL,260,186569,260186569,GK,0
236,닉 포프,TB,206,203841,206203841,GK,0
237,닉 포프,22LIVE,300,203841,300203841,GK,0
238,마누엘 노이어,BOE21,253,167495,253167495,GK,0
239,F. 포스터,21PL,508,172203,508172203,GK,0
